plate	cycle	well	tile	channel
1	1	A1	0	405_nm_Ex
1	1	A1	0	561_nm_Ex_-_1
1	1	A1	0	561_nm_Ex_-_2
1	1	A1	0	638_nm_Ex_-_1
1	1	A1	0	638_nm_Ex_-_2
1	1	A1	1	405_nm_Ex
1	1	A1	1	561_nm_Ex_-_1
1	1	A1	1	561_nm_Ex_-_2
1	1	A1	1	638_nm_Ex_-_1
1	1	A1	1	638_nm_Ex_-_2
1	1	A1	2	405_nm_Ex
1	1	A1	2	561_nm_Ex_-_1
1	1	A1	2	561_nm_Ex_-_2
1	1	A1	2	638_nm_Ex_-_1
1	1	A1	2	638_nm_Ex_-_2
1	1	A1	3	405_nm_Ex
1	1	A1	3	561_nm_Ex_-_1
1	1	A1	3	561_nm_Ex_-_2
1	1	A1	3	638_nm_Ex_-_1
1	1	A1	3	638_nm_Ex_-_2
1	1	A1	4	405_nm_Ex
1	1	A1	4	561_nm_Ex_-_1
1	1	A1	4	561_nm_Ex_-_2
1	1	A1	4	638_nm_Ex_-_1
1	1	A1	4	638_nm_Ex_-_2
1	1	A1	5	405_nm_Ex
1	1	A1	5	561_nm_Ex_-_1
1	1	A1	5	561_nm_Ex_-_2
1	1	A1	5	638_nm_Ex_-_1
1	1	A1	5	638_nm_Ex_-_2
1	1	A1	6	405_nm_Ex
1	1	A1	6	561_nm_Ex_-_1
1	1	A1	6	561_nm_Ex_-_2
1	1	A1	6	638_nm_Ex_-_1
1	1	A1	6	638_nm_Ex_-_2
1	1	A1	7	405_nm_Ex
1	1	A1	7	561_nm_Ex_-_1
1	1	A1	7	561_nm_Ex_-_2
1	1	A1	7	638_nm_Ex_-_1
1	1	A1	7	638_nm_Ex_-_2
1	1	A1	8	405_nm_Ex
1	1	A1	8	561_nm_Ex_-_1
1	1	A1	8	561_nm_Ex_-_2
1	1	A1	8	638_nm_Ex_-_1
1	1	A1	8	638_nm_Ex_-_2
1	1	A1	9	405_nm_Ex
1	1	A1	9	561_nm_Ex_-_1
1	1	A1	9	561_nm_Ex_-_2
1	1	A1	9	638_nm_Ex_-_1
1	1	A1	9	638_nm_Ex_-_2
1	1	A1	10	405_nm_Ex
